agent,week,left_run,right_run,shingle_jaccard
Alaric Voss,28,Run 1,Run 2,0.003534
Alaric Voss,29,Run 1,Run 2,0.007246
Alaric Voss,30,Run 1,Run 2,0.0
Alaric Voss,31,Run 1,Run 2,0.003817
Alaric Voss,32,Run 1,Run 2,0.0
Alaric Voss,33,Run 1,Run 2,0.0
Alaric Voss,34,Run 1,Run 2,0.0
Alaric Voss,35,Run 1,Run 2,0.0
Alaric Voss,36,Run 1,Run 2,0.0
Alaric Voss,37,Run 1,Run 2,0.007067
Alaric Voss,38,Run 1,Run 2,0.0
Alaric Voss,39,Run 1,Run 2,0.007117
Alaric Voss,40,Run 1,Run 2,0.0
Alaric Voss,41,Run 1,Run 2,0.0
Alaric Voss,42,Run 1,Run 2,0.0
Alaric Voss,43,Run 1,Run 2,0.0
Alaric Voss,44,Run 1,Run 2,0.010909
Alaric Voss,45,Run 1,Run 2,0.0
Alaric Voss,46,Run 1,Run 2,0.0
Alaric Voss,47,Run 1,Run 2,0.0
Alaric Voss,1,Run 1,Run 3,0.0
Alaric Voss,2,Run 1,Run 3,0.0
Alaric Voss,3,Run 1,Run 3,0.0
Alaric Voss,4,Run 1,Run 3,0.0
Alaric Voss,5,Run 1,Run 3,0.0
Alaric Voss,6,Run 1,Run 3,0.0
Alaric Voss,7,Run 1,Run 3,0.0
Alaric Voss,8,Run 1,Run 3,0.01087
Alaric Voss,9,Run 1,Run 3,0.007491
Alaric Voss,10,Run 1,Run 3,0.0
Alaric Voss,11,Run 1,Run 3,0.01049
Alaric Voss,12,Run 1,Run 3,0.0
Alaric Voss,13,Run 1,Run 3,0.0
Alaric Voss,14,Run 1,Run 3,0.003597
Alaric Voss,15,Run 1,Run 3,0.0
Alaric Voss,16,Run 1,Run 3,0.0
Alaric Voss,17,Run 1,Run 3,0.0
Alaric Voss,18,Run 1,Run 3,0.0
Alaric Voss,19,Run 1,Run 3,0.0
Alaric Voss,20,Run 1,Run 3,0.018519
Alaric Voss,21,Run 1,Run 3,0.0
Alaric Voss,22,Run 1,Run 3,0.003472
Alaric Voss,23,Run 1,Run 3,0.0
Alaric Voss,24,Run 1,Run 3,0.0
Alaric Voss,25,Run 1,Run 3,0.0
Alaric Voss,26,Run 1,Run 3,0.00722
Alaric Voss,27,Run 1,Run 3,0.0
Alaric Voss,28,Run 1,Run 3,0.0
Alaric Voss,29,Run 1,Run 3,0.0
Alaric Voss,30,Run 1,Run 3,0.0
Alaric Voss,31,Run 1,Run 3,0.0
Alaric Voss,32,Run 1,Run 3,0.0
Alaric Voss,33,Run 1,Run 3,0.0
Alaric Voss,34,Run 1,Run 3,0.0
Alaric Voss,35,Run 1,Run 3,0.0
Alaric Voss,36,Run 1,Run 3,0.021818
Alaric Voss,37,Run 1,Run 3,0.0
Alaric Voss,38,Run 1,Run 3,0.01845
Alaric Voss,39,Run 1,Run 3,0.0
Alaric Voss,40,Run 1,Run 3,0.0
Alaric Voss,41,Run 1,Run 3,0.021661
Alaric Voss,42,Run 1,Run 3,0.0
Alaric Voss,43,Run 1,Run 3,0.003597
Alaric Voss,44,Run 1,Run 3,0.003623
Alaric Voss,45,Run 1,Run 3,0.0
Alaric Voss,1,Run 2,Run 3,0.00369
Alaric Voss,2,Run 2,Run 3,0.003546
Alaric Voss,3,Run 2,Run 3,0.0
Alaric Voss,4,Run 2,Run 3,0.0
Alaric Voss,5,Run 2,Run 3,0.0
Alaric Voss,6,Run 2,Run 3,0.0
Alaric Voss,7,Run 2,Run 3,0.0
Alaric Voss,8,Run 2,Run 3,0.006849
Alaric Voss,9,Run 2,Run 3,0.0
Alaric Voss,10,Run 2,Run 3,0.0
Alaric Voss,11,Run 2,Run 3,0.007117
Alaric Voss,12,Run 2,Run 3,0.007299
Alaric Voss,13,Run 2,Run 3,0.0
Alaric Voss,14,Run 2,Run 3,0.0
Alaric Voss,15,Run 2,Run 3,0.00361
Alaric Voss,16,Run 2,Run 3,0.0
Alaric Voss,17,Run 2,Run 3,0.0
Alaric Voss,18,Run 2,Run 3,0.007018
Alaric Voss,19,Run 2,Run 3,0.0
Alaric Voss,20,Run 2,Run 3,0.003534
Alaric Voss,21,Run 2,Run 3,0.003311
Alaric Voss,22,Run 2,Run 3,0.003497
Alaric Voss,23,Run 2,Run 3,0.0
Alaric Voss,24,Run 2,Run 3,0.0
Alaric Voss,25,Run 2,Run 3,0.0
Alaric Voss,26,Run 2,Run 3,0.003597
Alaric Voss,27,Run 2,Run 3,0.0
Alaric Voss,28,Run 2,Run 3,0.006849
Alaric Voss,29,Run 2,Run 3,0.0
Alaric Voss,30,Run 2,Run 3,0.014235
Alaric Voss,31,Run 2,Run 3,0.0
Alaric Voss,32,Run 2,Run 3,0.0
Alaric Voss,33,Run 2,Run 3,0.0
Alaric Voss,34,Run 2,Run 3,0.0
Alaric Voss,35,Run 2,Run 3,0.0
Alaric Voss,36,Run 2,Run 3,0.0
Alaric Voss,37,Run 2,Run 3,0.0
Alaric Voss,38,Run 2,Run 3,0.0
Alaric Voss,39,Run 2,Run 3,0.0
Alaric Voss,40,Run 2,Run 3,0.0
Alaric Voss,41,Run 2,Run 3,0.006969
Alaric Voss,42,Run 2,Run 3,0.0
Alaric Voss,43,Run 2,Run 3,0.003676
Alaric Voss,44,Run 2,Run 3,0.0
Alaric Voss,45,Run 2,Run 3,0.0
Alessandro Vieri,1,Run 1,Run 2,0.0
Alessandro Vieri,2,Run 1,Run 2,0.0
Alessandro Vieri,3,Run 1,Run 2,0.0
Alessandro Vieri,4,Run 1,Run 2,0.003559
Alessandro Vieri,5,Run 1,Run 2,0.0
Alessandro Vieri,6,Run 1,Run 2,0.0
Alessandro Vieri,7,Run 1,Run 2,0.0
Alessandro Vieri,8,Run 1,Run 2,0.0
Alessandro Vieri,9,Run 1,Run 2,0.010345
Alessandro Vieri,10,Run 1,Run 2,0.0
Alessandro Vieri,11,Run 1,Run 2,0.0
Alessandro Vieri,12,Run 1,Run 2,0.0
